country,ppa_country
Australia,Australia
Canada,Canada
India,India
Indonesia,Indonesia
Japan,Japan
Pakistan,Pakistan
People's Republic of China (mainland),People's Republic of China (mainland)
Egypt,Rest of Africa
Kenya,Rest of Africa
Nigeria,Rest of Africa
Senegal,Rest of Africa
South Africa,Rest of Africa
Rest of Africa,Rest of Africa
Bangladesh,Rest of Asia Pacific
Malaysia,Rest of Asia Pacific
New Zealand,New Zealand
Philippines,Rest of Asia Pacific
Singapore,Rest of Asia Pacific
Thailand,Rest of Asia Pacific
Vietnam,Rest of Asia Pacific
Rest of Asia Pacific,Rest of Asia Pacific
Czech Republic,CEE DM
Hungary,CEE DM
Poland,CEE EM
Romania,CEE EM
Russia,CEE EM
Slovakia,CEE DM
Ukraine,CEE EM
Rest of Central & Eastern Europe,CEE EM
Hong Kong,Hong Kong
Republic of China (Taiwan),Taiwan
Rest of Greater China,Rest of Greater China
Argentina,Rest of Latin America
Brazil,Brazil
Chile,Rest of Latin America
Colombia,Rest of Latin America
Mexico,Mexico
Peru,Rest of Latin America
Uruguay,Rest of Latin America
Rest of Latin America,Rest of Latin America
Israel,MEA EM
Saudi Arabia,MEA DM
Turkey,MEA EM
United Arab Emirates,MEA DM
Rest of Middle East,MEA DM
Austria,Austria
Belgium,Belgium
Denmark,Denmark
Finland,Finland
France,France
Germany,Germany
Greece,Rest of Western Europe
Ireland,Ireland
Italy,Rest of Western Europe
Netherlands,Netherlands
Norway,Norway
Portugal,Rest of Western Europe
Spain,Spain
Sweden,Sweden
Switzerland,Switzerland
UK,UK
Rest of Western Europe,Rest of Western Europe
South Korea,South Korea
United States,United States
Rest of North America,Rest of North America
Taiwan,Taiwan
